"","EOO","AOO","Nbe_unique_occ.","Nbe_subPop","Nbe_loc","Nbe_loc_PA","Category_CriteriaB","Category_code","Ratio_occ_within_PA","Category_AOO","Category_EOO"
"Mantidactylus grandidieri","107025.682","100","27",NA,"17","6","LC","LC B1a+B2a","31.6","NT or LC","NT or LC"
"Mantidactylus guttulatus","186287.48","84","21",NA,"15","5","LC","LC B1a+B2a","33.9","NT or LC","NT or LC"
"Mantidactylus lugubris","275330.989","128","35",NA,"26","6","LC","LC B1a+B2a","26.7","NT or LC","NT or LC"
"Mantidactylus madecassus",NA,"4","1",NA,"1","0","CR","CR B2a","0","CR",NA
"Mantidactylus majori","50669.372","80","23",NA,"12","5","NT","NT B1a+B2a","50.5","NT or LC","NT or LC"
"Mantidactylus melanopleura","7010.296","24","7",NA,"4","2","EN","EN B2a","62.5","EN","VU"
"Mantidactylus mocquardi","28567.217","52","15",NA,"8","4","VU","VU B2a","58.8","VU","NT or LC"
"Mantidactylus noralottae",NA,"4","1",NA,"1","1","EN","EN B2a","100","EN",NA
"Mantidactylus opiparis","76590.652","108","30",NA,"15","5","LC","LC B1a+B2a","26.5","NT or LC","NT or LC"
"Mantidactylus tricinctus","31771.42","16","4",NA,"4","0","EN","EN B2a","0","EN","NT or LC"
"Mantidactylus ulcerosus","184686.638","32","9",NA,"8","4","VU","VU B2a","27.3","VU","NT or LC"
"Mantidactylus zipperi",NA,"8","2",NA,"2","1","EN","EN B2a","50","EN",NA
"Mantidactylus zolitschka",NA,"4","1",NA,"1","0","CR","CR B2a","0","CR",NA
"Paradoxophyla palmata","774.795","16","4",NA,"4","2","EN","EN B1a+B2a","12.5","EN","EN"
"Platypelis barbouri","6142.649","12","3",NA,"3","1","EN","EN B2a","50","EN","VU"
"Platypelis grandis","77775.855","88","22",NA,"16","5","LC","LC B1a+B2a","23.7","NT or LC","NT or LC"
"Platypelis milloti",NA,"8","2",NA,"2","0","EN","EN B2a","0","EN",NA
"Platypelis pollicaris","17297.885","44","12",NA,"6","2","VU","VU B1a+B2a","77.8","VU","VU"
"Platypelis tetra","257.778","12","3",NA,"3","1","EN","EN B1a+B2a","33.3","EN","EN"
"Platypelis tuberifera","43260.179","80","21",NA,"9","4","VU","VU B2a","55.2","VU","NT or LC"
